doy,hour,temp
1,0,48.0
1,1,47.2
1,2,46.6
1,3,46.0
1,4,45.7
1,5,45.3
1,6,44.9
1,7,44.8
1,8,44.8
1,9,48.1
1,10,51.6
1,11,54.6
1,12,56.9
1,13,58.8
1,14,60.2
1,15,61.0
1,16,61.0
1,17,59.7
1,18,56.9
1,19,54.7
1,20,52.8
1,21,51.3
1,22,50.0
1,23,49.0
2,0,48.2
2,1,47.3
2,2,46.7
2,3,46.1
2,4,45.8
2,5,45.4
2,6,45.0
2,7,44.9
2,8,44.9
2,9,48.2
2,10,51.6
2,11,54.6
2,12,56.8
2,13,58.7
2,14,60.1
2,15,61.0
2,16,61.1
2,17,59.8
2,18,57.1
2,19,54.8
2,20,52.8
2,21,51.2
2,22,50.0
2,23,48.8
3,0,48.1
3,1,47.1
3,2,46.5
3,3,46.0
3,4,45.6
3,5,45.2
3,6,44.7
3,7,44.6
3,8,44.6
3,9,47.9
3,10,51.4
3,11,54.3
3,12,56.7
3,13,58.5
3,14,60.0
3,15,60.9
3,16,60.9
3,17,59.7
3,18,57.0
3,19,54.6
3,20,52.6
3,21,51.0
3,22,49.6
3,23,48.5
4,0,47.8
4,1,46.8
4,2,46.2
4,3,45.7
4,4,45.3
4,5,44.9
4,6,44.6
4,7,44.5
4,8,44.5
4,9,47.8
4,10,51.3
4,11,54.4
4,12,56.8
4,13,58.8
4,14,60.2
4,15,61.1
4,16,61.1
4,17,59.9
4,18,57.1
4,19,54.8
4,20,52.7
4,21,51.1
4,22,49.8
4,23,48.6
5,0,47.8
5,1,46.8
5,2,46.2
5,3,45.6
5,4,45.3
5,5,44.8
5,6,44.5
5,7,44.4
5,8,44.4
5,9,47.8
5,10,51.5
5,11,54.6
5,12,57.0
5,13,58.9
5,14,60.3
5,15,61.2
5,16,61.3
5,17,60.0
5,18,57.3
5,19,54.9
5,20,52.9
5,21,51.2
5,22,49.8
5,23,48.6
6,0,47.9
6,1,46.9
6,2,46.3
6,3,45.8
6,4,45.3
6,5,44.8
6,6,44.5
6,7,44.4
6,8,44.4
6,9,47.8
6,10,51.4
6,11,54.5
6,12,56.9
6,13,58.7
6,14,60.1
6,15,61.0
6,16,61.1
6,17,59.9
6,18,57.2
6,19,54.8
6,20,52.7
6,21,51.0
6,22,49.7
6,23,48.5
7,0,47.7
7,1,46.8
7,2,46.2
7,3,45.7
7,4,45.2
7,5,44.7
7,6,44.3
7,7,44.1
7,8,44.1
7,9,47.7
7,10,51.3
7,11,54.3
7,12,56.7
7,13,58.6
7,14,60.0
7,15,60.9
7,16,61.1
7,17,59.9
7,18,57.3
7,19,54.8
7,20,52.7
7,21,51.1
7,22,49.8
7,23,48.6
8,0,47.9
8,1,46.9
8,2,46.4
8,3,45.8
8,4,45.4
8,5,44.8
8,6,44.4
8,7,44.2
8,8,44.3
8,9,47.7
8,10,51.3
8,11,54.3
8,12,56.7
8,13,58.6
8,14,60.0
8,15,60.9
8,16,61.1
8,17,60.0
8,18,57.3
8,19,55.0
8,20,53.0
8,21,51.3
8,22,50.0
8,23,48.9
9,0,47.9
9,1,47.0
9,2,46.4
9,3,45.9
9,4,45.4
9,5,44.9
9,6,44.5
9,7,44.3
9,8,44.4
9,9,47.9
9,10,51.4
9,11,54.4
9,12,56.8
9,13,58.7
9,14,60.0
9,15,60.9
9,16,61.1
9,17,60.0
9,18,57.5
9,19,55.1
9,20,53.1
9,21,51.5
9,22,50.2
9,23,49.1
10,0,48.1
10,1,47.3
10,2,46.6
10,3,46.0
10,4,45.5
10,5,45.0
10,6,44.7
10,7,44.5
10,8,44.7
10,9,48.0
10,10,51.5
10,11,54.6
10,12,57.0
10,13,58.9
10,14,60.3
10,15,61.2
10,16,61.3
10,17,60.2
10,18,57.6
10,19,55.3
10,20,53.3
10,21,51.7
10,22,50.5
10,23,49.3
11,0,48.4
11,1,47.5
11,2,46.8
11,3,46.2
11,4,45.7
11,5,45.2
11,6,44.9
11,7,44.8
11,8,44.9
11,9,48.2
11,10,51.7
11,11,54.7
11,12,57.1
11,13,59.0
11,14,60.4
11,15,61.3
11,16,61.4
11,17,60.4
11,18,57.8
11,19,55.4
11,20,53.5
11,21,51.9
11,22,50.6
11,23,49.4
12,0,48.6
12,1,47.7
12,2,47.1
12,3,46.4
12,4,45.9
12,5,45.4
12,6,45.1
12,7,44.9
12,8,45.1
12,9,48.4
12,10,51.9
12,11,54.9
12,12,57.3
12,13,59.2
12,14,60.7
12,15,61.5
12,16,61.7
12,17,60.7
12,18,58.1
12,19,55.7
